user,timestamp,cpu_percent,ram_percent,ram_used_gb,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec
gusta,2026-04-08 17:37:51.675099,8.5,70.2,11.04,71.4,2302.8,411.6
gusta,2026-04-08 17:38:02.701152,11.7,69.6,10.95,71.4,2265.2,371.0
gusta,2026-04-08 17:38:13.732899,7.2,69.6,10.95,71.4,13002.6,17034.0
maria-maia,2026-04-08 17:51:17.653461,3.1,40.8,5.44,25.9,2794.0,2120.2
maria-maia,2026-04-08 17:51:28.659929,0.8,40.5,5.4,25.9,28.0,185.6
maria-maia,2026-04-08 17:51:39.666139,0.5,39.2,5.22,25.9,1469.8,930.2
maria-maia,2026-04-08 17:51:50.672126,0.4,39.2,5.22,25.9,22.8,142.0
maria-maia,2026-04-08 17:52:01.679618,0.5,39.1,5.21,25.9,32.8,1199.2
maria-maia,2026-04-08 17:52:12.685348,0.8,39.0,5.21,25.9,45.6,142.8
maria-maia,2026-04-08 17:52:23.691541,0.4,39.0,5.2,25.9,25.0,145.8
maria-maia,2026-04-08 17:52:34.697678,1.0,39.0,5.21,25.9,2023.4,751.8
maria-maia,2026-04-08 17:52:45.703310,0.9,39.1,5.22,25.9,101.8,161.4
maria-maia,2026-04-08 17:52:56.708392,0.4,39.0,5.21,25.9,0.0,417.6
maria-maia,2026-04-08 17:53:07.713956,0.5,38.6,5.14,25.9,22.8,363.6
maria-maia,2026-04-08 17:53:18.720113,0.3,38.6,5.14,25.9,47.8,343.0
maria-maia,2026-04-08 17:53:29.726197,0.8,38.6,5.15,25.9,1536.0,1324.6
maria-maia,2026-04-08 17:53:40.730715,0.4,38.7,5.15,25.9,49.0,111.8
maria-maia,2026-04-08 17:53:51.735403,0.6,38.6,5.15,25.9,2085.6,1240.4
maria-maia,2026-04-08 17:54:02.740911,0.6,38.5,5.14,25.9,74.2,1024.2
maria-maia,2026-04-08 17:54:13.746095,0.4,38.5,5.14,25.9,36.8,466.8
maria-maia,2026-04-08 17:54:24.751133,0.3,38.5,5.14,25.9,22.8,192.0
maria-maia,2026-04-08 17:54:35.757190,0.3,38.5,5.14,25.9,61.8,1231.4
maria-maia,2026-04-08 17:54:46.762435,1.3,38.5,5.14,25.9,84.6,157.4
maria-maia,2026-04-08 17:54:57.768268,0.5,38.5,5.13,25.9,3889.0,1871.4
maria-maia,2026-04-08 17:55:08.773391,0.3,38.6,5.15,25.9,45.6,791.2
maria-maia,2026-04-08 17:55:19.779149,0.5,38.6,5.15,25.9,0.0,157.6
maria-maia,2026-04-08 17:55:30.784968,0.3,38.6,5.15,25.9,25.0,1249.0
maria-maia,2026-04-08 17:55:41.790509,0.4,38.6,5.14,25.9,74.0,824.8
maria-maia,2026-04-08 17:55:52.796395,0.4,38.6,5.14,25.9,3817.4,1863.4
maria-maia,2026-04-08 17:56:03.802261,0.6,38.1,5.09,25.9,22.8,806.4
maria-maia,2026-04-08 17:56:14.825429,0.4,38.1,5.09,25.9,14.0,353.2
maria-maia,2026-04-08 17:56:25.830519,0.4,38.1,5.09,25.9,25.0,104.6
maria-maia,2026-04-08 17:56:36.835185,2.5,38.1,5.09,25.9,2475.8,3352.0
maria-maia,2026-04-08 17:56:47.839768,2.7,38.6,5.15,25.9,6789.4,6253.2
maria-maia,2026-04-08 17:56:58.844602,2.6,39.7,5.3,25.9,4265.6,6848.6
maria-maia,2026-04-08 17:57:09.849572,1.1,39.7,5.29,25.9,7125.0,10874.4
maria-maia,2026-04-08 17:57:20.853852,6.3,40.1,5.35,25.9,158.2,263.6
maria-maia,2026-04-08 17:57:31.858298,7.1,39.8,5.31,25.9,617.0,100.4
maria-maia,2026-04-08 17:57:42.863651,1.6,39.8,5.31,25.9,3733.8,1794.2
maria-maia,2026-04-08 17:57:53.868334,1.3,39.8,5.31,25.9,74.6,183.0
maria-maia,2026-04-08 17:58:04.873105,1.4,39.7,5.3,25.9,22.8,593.2
maria-maia,2026-04-08 17:58:15.878233,2.2,39.8,5.31,25.9,189.4,236.8
maria-maia,2026-04-08 17:58:26.883564,1.2,39.4,5.26,25.9,0.0,66.4
maria-maia,2026-04-08 17:58:37.888804,1.2,39.3,5.24,25.9,3519.8,871.0
maria-maia,2026-04-08 17:58:48.894133,1.4,39.5,5.26,25.9,541.4,376.8
maria-maia,2026-04-08 17:58:59.899919,1.3,39.4,5.25,25.9,71.4,86.0
maria-maia,2026-04-08 17:59:10.905281,1.3,39.4,5.26,25.9,145.8,132.6
maria-maia,2026-04-08 17:59:21.910806,1.2,39.3,5.25,25.9,14.8,92.8
maria-maia,2026-04-08 17:59:32.916207,1.3,39.4,5.25,25.9,3706.4,2364.2
maria-maia,2026-04-08 17:59:43.921672,2.1,39.4,5.25,25.9,168.0,258.8
maria-maia,2026-04-08 17:59:54.927032,1.0,39.3,5.24,25.9,21.2,49.6
maria-maia,2026-04-08 18:00:05.932576,1.4,39.3,5.24,25.9,25.0,230.2
maria-maia,2026-04-08 18:00:16.937260,1.8,39.2,5.23,25.9,2437.6,7195.4
maria-maia,2026-04-08 18:00:27.942446,4.1,39.2,5.23,25.9,11338.2,9848.4
maria-maia,2026-04-08 18:00:38.948859,5.1,41.9,5.59,25.9,823.2,3502.6
maria-maia,2026-04-08 18:00:49.955037,0.4,41.2,5.5,25.9,0.0,97.2
maria-maia,2026-04-08 18:01:00.960801,0.4,40.8,5.45,25.9,70.6,153.0
maria-maia,2026-04-08 18:01:11.966448,0.4,40.7,5.42,25.9,1550.8,2416.8
maria-maia,2026-04-08 18:01:22.971631,0.3,40.8,5.44,25.9,2137.4,695.8
maria-maia,2026-04-08 18:01:33.977760,0.4,40.7,5.43,25.9,14.0,72.0
maria-maia,2026-04-08 18:01:44.983238,0.4,40.7,5.43,25.9,45.6,56.8
maria-maia,2026-04-08 18:01:55.988971,0.7,40.7,5.43,25.9,39.0,65.4
maria-maia,2026-04-08 18:02:06.994407,0.6,40.6,5.41,25.9,21.2,109.6
maria-maia,2026-04-08 18:02:18.000171,0.4,40.6,5.42,25.9,3639.8,1077.4
maria-maia,2026-04-08 18:02:29.005618,0.3,40.7,5.43,25.9,98.8,1346.4
maria-maia,2026-04-08 18:02:40.010850,5.0,40.8,5.45,25.9,29970.4,958385.6
maria-maia,2026-04-08 18:02:51.015265,4.2,44.5,5.93,25.9,22564.0,61865.8
maria-maia,2026-04-08 18:03:02.019699,5.3,44.0,5.87,25.9,14306.0,6378.0
maria-maia,2026-04-08 18:03:13.023183,9.4,44.8,5.97,25.9,41959.8,374003.8
maria-maia,2026-04-08 18:03:24.026523,6.9,46.4,6.19,25.9,24008.4,8426.4
maria-maia,2026-04-08 18:03:35.030582,10.8,46.8,6.24,25.9,25753.6,261184.2
maria-maia,2026-04-08 18:03:46.034561,2.3,47.2,6.3,25.9,32661.6,418034.0
maria-maia,2026-04-08 18:03:57.037703,5.5,49.8,6.65,25.9,7960.0,114974.4
maria-maia,2026-04-08 18:04:08.042168,2.6,48.6,6.49,25.9,5923.8,91325.6
maria-maia,2026-04-08 18:04:19.045635,9.9,48.4,6.46,25.9,410.0,230.2
maria-maia,2026-04-08 18:04:30.049039,5.4,48.3,6.44,25.9,14.0,40.8
maria-maia,2026-04-08 18:04:41.052691,6.0,48.3,6.44,25.9,2432.0,37080.4
maria-maia,2026-04-08 18:04:52.056565,7.5,48.3,6.44,25.9,2054.6,88768.8
maria-maia,2026-04-08 18:05:03.060184,10.2,48.0,6.4,25.9,4350.6,76638.2
maria-maia,2026-04-08 18:05:14.064157,4.9,48.1,6.41,25.9,2984.2,85303.2
maria-maia,2026-04-08 18:05:25.067972,10.2,48.4,6.45,25.9,1164.0,56139.0
maria-maia,2026-04-08 18:05:36.071910,11.9,48.2,6.43,25.9,14965.8,54175.2
maria-maia,2026-04-08 18:05:47.075170,4.4,53.9,7.19,25.9,2918.8,1128.6
maria-maia,2026-04-08 18:05:58.080060,7.5,53.9,7.18,25.9,2909.4,580.8
maria-maia,2026-04-08 18:06:09.084005,3.6,53.3,7.11,25.9,3449.4,3186.6
maria-maia,2026-04-08 18:06:20.087762,5.4,52.6,7.02,25.9,3665.0,51111.0
maria-maia,2026-04-08 18:06:31.091703,4.6,52.7,7.03,25.9,4377.0,9251.8
maria-maia,2026-04-08 18:06:42.095811,5.5,52.7,7.02,25.9,153.4,143.6
maria-maia,2026-04-08 18:06:53.101177,9.9,52.5,7.0,25.9,650.6,184.0
maria-maia,2026-04-08 18:07:04.106321,2.4,52.7,7.03,25.9,1066.6,708.0
maria-maia,2026-04-08 18:07:15.110992,1.1,52.5,7.0,25.9,9360.0,16025.0
maria-maia,2026-04-08 18:07:26.115089,13.0,52.7,7.03,25.9,20702.0,27423.2
maria-maia,2026-04-08 18:07:37.119567,16.0,53.2,7.1,25.9,35374.6,345597.6
